Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200501EO40463,1,1,1,1,40,7,3,0,0,0,0,-1,1,1
200501EO40464,1,1,1,1,24,5,3,0,0,0,0,-1,3,1
200501EO40465,1,1,3,2,29,6,2,1,3,0,0,-1,0,1
200501EO40466,2,1,1,2,28,6,3,0,0,0,0,-1,1,1
200501EO40467,2,1,1,1,25,5,3,0,0,0,0,-1,1,1
200501EO40468,2,1,1,2,29,6,3,0,0,0,0,-1,1,1
200501EO40469,1,1,1,1,46,8,3,0,0,0,0,-1,5,1
200501EO40470,2,1,1,1,15,3,3,0,0,0,0,-1,1,1
200501EO40471,1,1,3,1,44,7,3,1,1,0,0,-1,0,-1
200501EO40472,1,1,2,2,83,11,3,0,0,0,3,-1,11,1
200501EO40473,1,1,3,2,11,3,3,1,4,0,0,-1,0,1
200501EO40474,1,1,3,1,25,5,3,1,1,0,0,-1,0,1
200501EO40475,2,1,1,1,33,6,2,0,0,0,0,-1,5,1
200501EO40476,1,1,1,2,29,6,3,0,0,0,0,-1,9,-1
200501EO40476,1,2,2,2,24,5,3,0,0,1,0,-1,9,-1
200501EO40476,2,3,1,1,35,6,2,0,0,0,0,-1,9,-1
200501EO40477,1,1,3,1,30,6,2,4,1,0,0,-1,0,1
200501EO40478,1,1,3,1,38,7,3,5,3,0,0,-1,0,1
200501EO40479,1,1,3,2,14,3,3,5,2,0,0,-1,0,1
200501EO40480,1,1,1,1,37,7,3,0,0,0,0,-1,5,1
200501EO40481,2,1,1,1,30,6,3,0,0,0,0,-1,1,-1
200501EO40482,1,1,1,1,37,7,3,0,0,0,0,-1,9,1
200501EO40483,1,1,2,1,-1,-1,3,0,0,0,3,-1,11,1
200501EO40487,1,1,2,2,52,8,3,0,0,1,0,-1,9,1
200501EO40488,1,1,1,1,43,7,3,0,0,0,0,-1,9,1
200501EO40489,1,1,2,2,24,5,3,0,0,0,2,-1,11,1
200501EO40491,1,1,2,1,57,9,3,0,0,0,4,-1,11,-1
200501EO40492,1,1,1,1,30,6,3,0,0,0,0,-1,9,1
200501EO40494,1,1,3,1,24,5,3,5,3,0,0,-1,0,1
200501EO40495,1,1,3,1,60,9,3,4,4,0,0,-1,0,-1
200501EO40496,1,1,2,2,54,8,3,0,0,0,3,-1,11,1
200501EO40497,1,1,2,2,-1,-1,3,0,0,0,4,-1,11,-1
200501EO40498,1,1,3,1,56,9,3,5,1,0,0,-1,0,1
200501EO40499,2,1,1,1,42,7,3,0,0,0,0,-1,1,1
200501EO40500,2,1,1,2,26,6,3,0,0,0,0,-1,1,1
200501EO40501,1,1,1,1,31,6,3,0,0,0,0,-1,1,1
200501EO40502,1,1,2,2,30,6,3,0,0,0,3,-1,11,1
200501EO40503,1,1,1,1,31,6,3,0,0,0,0,-1,5,1
200501EO40504,1,1,1,2,58,9,2,0,0,0,0,-1,1,1
200501EO40505,1,1,1,1,50,8,3,0,0,0,0,-1,5,1
200501EO40506,1,1,1,1,48,8,3,0,0,0,0,-1,1,1
200501EO40507,1,1,3,2,27,6,3,5,3,0,0,-1,0,-1
200501EO40508,1,1,1,1,51,8,3,0,0,0,0,-1,11,1
200501EO40509,1,1,1,1,-1,-1,3,0,0,0,0,-1,9,1
200501EO40510,1,1,1,1,59,9,3,0,0,0,0,-1,8,-1
200501EO40511,2,1,1,1,40,7,3,0,0,0,0,-1,1,1
200501EO40513,1,1,3,2,21,5,3,5,1,0,0,-1,0,1
200501EO40514,1,1,1,2,41,7,3,0,0,0,0,-1,9,1
200501EO40515,2,1,1,1,58,9,3,0,0,0,0,-1,9,1
200501EO40516,2,1,1,1,26,6,2,0,0,0,0,-1,5,-1
200501EO40517,2,1,1,1,39,7,3,0,0,0,0,-1,1,-1
200501EO40517,3,2,1,1,39,7,3,0,0,0,0,-1,1,1
200501EO40518,1,1,1,1,26,6,3,0,0,0,0,-1,4,1
200501EO40519,2,1,1,1,-1,-1,3,0,0,0,0,-1,1,-1
200501EO40521,1,1,1,1,31,6,3,0,0,0,0,-1,9,1
200501EO40522,1,1,1,1,45,7,3,0,0,0,0,-1,9,-1
200501EO40522,1,2,2,2,-1,-1,3,0,0,1,0,-1,9,-1
200501EO40523,1,1,1,1,27,6,3,0,0,0,0,-1,1,1
200501EO40524,1,1,1,1,34,6,3,0,0,0,0,-1,2,1
200501EO40526,1,1,3,2,40,7,3,9,5,0,0,-1,0,1
200501EO40528,1,1,2,2,67,10,3,0,0,0,3,-1,11,1
200501EO40529,1,1,3,1,41,7,3,4,1,0,0,-1,0,1
200501EO40530,1,1,3,1,10,2,3,5,2,0,0,-1,0,1
200501EO40531,2,1,1,1,14,3,3,0,0,0,0,-1,1,1
200501EO40532,1,1,1,1,55,8,3,0,0,0,0,-1,9,-1
200501EO40532,1,2,3,2,34,6,3,7,9,0,0,-1,0,1
200501EO40533,1,1,3,1,80,11,3,4,1,0,0,-1,0,-1
200501EO40534,1,1,1,1,41,7,3,0,0,0,0,-1,1,1
200501EO40535,2,1,1,1,40,7,3,0,0,0,0,-1,1,1
200501EO40536,1,1,3,1,20,4,3,1,1,0,0,-1,0,1
200501EO40537,2,1,1,1,28,6,3,0,0,0,0,-1,4,1
200501EO40538,1,1,1,1,57,9,3,0,0,0,0,-1,9,1
200501EO40538,2,2,1,1,20,4,3,0,0,0,0,-1,9,1
200501EO40538,2,3,2,2,-1,-1,3,0,0,1,0,-1,9,-1
200501EO40540,1,1,1,1,37,7,3,0,0,0,0,-1,9,1
200501EO40541,1,1,2,2,1,1,3,0,0,1,0,-1,9,1
200501EO40542,2,1,1,1,36,7,3,0,0,0,0,-1,1,1
200501EO40543,2,1,1,1,32,6,3,0,0,0,0,-1,3,-1
200501EO40544,2,1,1,2,39,7,3,0,0,0,0,-1,9,-1
200501EO40545,2,1,1,1,16,4,3,0,0,0,0,-1,2,1
200501EO40546,3,1,2,2,32,6,3,0,0,1,0,-1,9,-1
200501EO40547,1,1,1,1,35,6,3,0,0,0,0,-1,3,1
200501EO40548,2,1,1,1,33,6,3,0,0,0,0,-1,1,1
200501EO40549,1,1,1,2,46,8,3,0,0,0,0,-1,1,1
200501EO40550,1,1,1,1,41,7,3,0,0,0,0,-1,5,1
200501EO40551,2,1,1,2,23,5,3,0,0,0,0,-1,9,1
200501EO40553,1,1,2,1,-1,-1,3,0,0,2,0,-1,9,-1
200501EO40554,1,1,1,1,25,5,3,0,0,0,0,-1,9,1
200501EO40555,1,1,3,1,30,6,3,9,9,0,0,-1,0,-1
200501EO40556,1,1,2,1,24,5,3,0,0,0,2,-1,11,-1
200501EO40557,3,1,1,1,49,8,3,0,0,0,0,-1,9,1
200501EO40558,1,1,2,2,23,5,3,0,0,1,0,-1,9,1
200501EO40559,1,1,1,1,37,7,2,0,0,0,0,-1,9,1
200501EO40560,1,1,1,1,45,7,3,0,0,0,0,-1,3,1
200501EO40561,1,1,3,1,31,6,3,1,3,0,0,-1,0,-1
200501EO40563,1,1,1,1,50,8,3,0,0,0,0,-1,9,-1
200501EO40563,1,2,2,1,26,6,3,0,0,2,0,-1,9,1
200501EO40564,2,1,1,1,29,6,3,0,0,0,0,-1,1,-1
200501EO40565,2,1,2,1,-1,-1,3,0,0,1,0,-1,9,-1
200501EO40566,2,1,1,1,-1,-1,3,0,0,0,0,-1,1,-1
200501EO40568,2,1,1,1,34,6,3,0,0,0,0,-1,2,-1
200501EO40569,1,1,1,1,46,8,3,0,0,0,0,-1,19,1
200501EO40570,1,1,1,1,36,7,3,0,0,0,0,-1,9,-1
200501EO40571,2,1,2,2,27,6,3,0,0,0,0,-1,19,1
200501EO40572,1,1,3,1,17,4,3,10,9,0,0,-1,0,1
200501EO40573,2,1,1,1,11,3,2,0,0,0,0,-1,1,-1
200501EO40574,2,1,1,1,35,6,3,0,0,0,0,-1,1,1
200501EO40576,1,1,3,1,14,3,3,10,9,0,0,-1,0,1
200501EO40577,1,1,3,1,14,3,2,5,9,0,0,-1,0,-1
200501EO40578,2,1,1,2,-1,-1,3,0,0,0,0,-1,1,-1
200501EO40579,1,1,3,2,23,5,3,1,9,0,0,-1,0,1
200501EO40581,1,1,3,1,25,5,3,4,1,0,0,-1,0,1
200501EO40583,1,1,1,1,23,5,3,0,0,0,0,-1,4,1
200501EO40584,2,1,1,1,26,6,3,0,0,0,0,-1,4,1
200501EO40585,2,1,1,1,-1,-1,3,0,0,0,0,-1,1,-1
200501EO40586,1,1,1,1,73,10,3,0,0,0,0,-1,1,1
200501EO40587,1,1,1,1,33,6,3,0,0,0,0,-1,1,1
200501EO40588,1,1,1,1,27,6,3,0,0,0,0,-1,9,-1
200501EO40589,1,1,3,1,20,4,3,1,2,0,0,-1,0,-1
200501EO40590,1,1,2,2,11,3,3,0,0,0,4,-1,11,1
200501EO40590,1,2,2,2,8,2,3,0,0,0,4,-1,11,1
200501EO40591,2,1,1,1,50,8,3,0,0,0,0,-1,1,-1
200501EO40592,1,1,2,2,54,8,3,0,0,0,0,-1,21,1
200501EO40593,1,1,1,1,41,7,3,0,0,0,0,-1,3,-1
200501EO40594,1,1,1,1,41,7,3,0,0,0,0,-1,1,-1
200501EO40595,1,1,1,1,30,6,3,0,0,0,0,-1,1,1
200501EO40596,1,1,1,2,28,6,3,0,0,0,0,-1,9,-1
200501EO40597,2,1,1,2,33,6,3,0,0,0,0,-1,9,1
200501EO40598,1,1,2,2,60,9,3,0,0,0,3,-1,11,1
200501EO40599,1,1,1,1,49,8,3,0,0,0,0,-1,5,1
200501EO40600,1,1,1,1,32,6,3,0,0,0,0,-1,3,1
200501EO40602,2,1,1,1,46,8,3,0,0,0,0,-1,5,1
200501EO40603,2,1,1,1,29,6,3,0,0,0,0,-1,1,1
200501EO40604,1,1,1,1,64,9,2,0,0,0,0,-1,21,1
200501EO40606,1,1,1,1,31,6,2,0,0,0,0,-1,4,-1
200501EO40608,1,1,1,2,20,4,3,0,0,0,0,-1,3,1
200501EO40609,1,1,1,2,35,6,3,0,0,0,0,-1,3,1
200501EO40610,1,1,3,2,35,6,3,10,3,0,0,-1,0,-1
200501EO40611,1,1,1,1,30,6,3,0,0,0,0,-1,2,1
200501EO40612,2,1,1,1,32,6,3,0,0,0,0,-1,1,1
200501EO40613,1,1,1,1,34,6,3,0,0,0,0,-1,9,1
200501EO40614,1,1,1,1,39,7,3,0,0,0,0,-1,8,1
200501EO40616,1,1,1,2,29,6,3,0,0,0,0,-1,9,1
200501EO40617,1,1,2,2,88,11,2,0,0,0,1,-1,11,1
200501EO40618,1,1,1,1,35,6,3,0,0,0,0,-1,5,-1
200501EO40619,1,1,1,1,41,7,3,0,0,0,0,-1,5,1
200501EO40620,1,1,1,1,43,7,2,0,0,0,0,-1,5,3
200501EO40621,1,1,1,1,53,8,3,0,0,0,0,-1,9,-1
200501EO40621,2,2,1,1,26,6,3,0,0,0,0,-1,9,-1
200501EO40623,1,1,1,1,33,6,3,0,0,0,0,-1,4,1
200501EO40624,2,1,1,1,31,6,3,0,0,0,0,-1,1,1
200501EO40625,1,1,3,1,10,2,3,10,9,0,0,-1,0,1
200501EO40626,1,1,1,1,23,5,3,0,0,0,0,-1,3,1
200501EO40627,2,1,1,1,42,7,3,0,0,0,0,-1,4,1
200501EO40628,1,1,2,2,22,5,3,0,0,0,3,-1,11,1
200501EO40629,1,1,1,1,31,6,3,0,0,0,0,-1,1,1
200501EO40630,1,1,1,1,27,6,3,0,0,0,0,-1,4,-1
200501EO40632,1,1,1,1,84,11,3,0,0,0,0,-1,9,-1
200501EO40633,1,1,1,1,65,9,3,0,0,0,0,-1,9,1
200501EO40634,1,1,1,1,61,9,3,0,0,0,0,-1,9,2
200501EO40634,1,2,2,1,23,5,3,0,0,1,0,-1,9,1
200501EO40635,1,1,3,1,34,6,3,5,3,0,0,-1,0,1
200501EO40636,2,1,1,1,30,6,3,0,0,0,0,-1,9,1
200501EO40637,1,1,1,1,33,6,2,0,0,0,0,-1,3,1
200501EO40638,1,1,2,1,42,7,3,0,0,0,1,-1,11,1
200501EO40639,1,1,1,1,41,7,3,0,0,0,0,-1,5,1
200501EO40640,2,1,1,1,28,6,3,0,0,0,0,-1,1,1
200501EO40641,2,1,1,2,37,7,3,0,0,0,0,-1,5,1
200501EO40642,1,1,3,2,29,6,3,8,8,0,0,-1,0,1
200501EO40643,1,1,1,1,39,7,3,0,0,0,0,-1,9,1
200501EO40644,1,1,1,1,25,5,3,0,0,0,0,-1,3,-1
200501EO40645,1,1,1,1,27,6,3,0,0,0,0,-1,9,1
200501EO40646,1,1,3,1,7,2,3,5,1,0,0,-1,0,1
200501EO40647,2,1,1,1,22,5,3,0,0,0,0,-1,9,1
200501EO40648,1,1,1,1,47,8,3,0,0,0,0,-1,2,1
200501EO40649,1,1,2,2,20,4,3,0,0,0,4,-1,11,1
200501EO40649,1,2,2,2,67,10,3,0,0,0,4,-1,11,2
200501EO40650,1,1,3,2,50,8,3,10,9,0,0,-1,0,-1
200501EO40651,1,1,3,2,24,5,3,5,1,0,0,-1,0,1
200501EO40652,2,1,1,1,22,5,3,0,0,0,0,-1,5,1
200501EO40653,2,1,2,1,17,4,3,0,0,2,0,-1,9,-1
200501EO40654,2,1,1,1,49,8,3,0,0,0,0,-1,1,-1
200501EO40655,1,1,2,1,45,7,3,0,0,0,3,-1,11,1
200501EO40656,1,1,3,1,36,7,2,10,9,0,0,-1,0,-1
200501EO40657,2,1,1,1,30,6,3,0,0,0,0,-1,3,1
200501EO40658,1,1,1,1,38,7,3,0,0,0,0,-1,9,2
200501EO40659,1,1,2,2,63,9,3,0,0,0,3,-1,11,1
200501EO40660,2,1,1,1,42,7,3,0,0,0,0,-1,20,1
200501EO40661,2,1,1,1,30,6,3,0,0,0,0,-1,5,1
200501EO40662,1,1,1,2,79,11,3,0,0,0,0,-1,9,1
200501EO40663,2,1,1,2,28,6,3,0,0,0,0,-1,2,1
200501EO40664,1,1,1,1,12,3,3,0,0,0,0,-1,1,-1
200501EO40665,1,1,3,1,11,3,3,5,9,0,0,-1,0,1
200501EO40666,1,1,1,1,35,6,3,0,0,0,0,-1,5,1
200501EO40667,1,1,1,1,25,5,3,0,0,0,0,-1,5,1
200501EO40668,2,1,1,1,45,7,3,0,0,0,0,-1,1,-1
200501EO40669,1,1,3,2,36,7,3,4,3,0,0,-1,0,1
200501EO40670,1,1,3,1,33,6,3,4,1,0,0,-1,0,1
200501EO40671,1,1,2,1,-1,-1,3,0,0,1,0,-1,9,1
200501EO40672,2,1,1,2,24,5,3,0,0,0,0,-1,5,1
200501EO40674,2,1,1,1,59,9,3,0,0,0,0,-1,9,1
200501EO40675,2,1,1,1,30,6,3,0,0,0,0,-1,5,1
200501EO40676,1,1,1,1,17,4,3,0,0,0,0,-1,1,1
200501EO40677,1,1,3,1,-1,-1,3,10,9,0,0,-1,0,-1
200501EO40678,1,1,3,1,32,6,3,10,9,0,0,-1,0,1
200501EO40679,1,1,3,2,22,5,3,4,1,0,0,-1,0,1
200501EO40680,2,1,1,1,50,8,2,0,0,0,0,-1,9,1
200501EO40681,1,1,2,1,20,4,3,0,0,0,3,-1,11,-1
200501EO40682,1,1,1,1,21,5,3,0,0,0,0,-1,9,-1
200501EO40683,1,1,1,1,26,6,2,0,0,0,0,-1,5,1
200501EO40684,2,1,1,1,37,7,3,0,0,0,0,-1,1,1
200501EO40685,1,1,1,1,50,8,3,0,0,0,0,-1,9,1
200501EO40686,1,1,2,2,46,8,3,0,0,1,0,-1,9,1
200501EO40686,1,2,1,1,39,7,3,0,0,0,0,-1,9,1
200501EO40687,1,1,1,1,24,5,3,0,0,0,0,-1,9,1
200501EO40687,1,2,2,1,12,3,3,0,0,2,0,-1,9,1
200501EO40688,1,1,1,1,32,6,3,0,0,0,0,-1,5,1
200501EO40689,1,1,1,2,28,6,3,0,0,0,0,-1,3,1
200501EO40690,1,1,3,1,30,6,2,10,9,0,0,-1,0,1
200501EO40691,2,1,1,1,28,6,3,0,0,0,0,-1,3,-1
200501EO40692,1,1,1,1,39,7,3,0,0,0,0,-1,5,1
200501EO40693,1,1,1,1,24,5,3,0,0,0,0,-1,1,1
200501EO40694,1,1,1,2,43,7,3,0,0,0,0,-1,9,1
200501EO40695,2,1,1,2,32,6,3,0,0,0,0,-1,1,1
200501EO40696,2,1,1,2,28,6,3,0,0,0,0,-1,1,1
200501EO40697,1,1,1,1,41,7,3,0,0,0,0,-1,4,1
200501EO40698,2,1,1,1,30,6,3,0,0,0,0,-1,3,1
200501EO40699,1,1,1,1,36,7,3,0,0,0,0,-1,1,1
200501EO40700,1,1,1,1,31,6,3,0,0,0,0,-1,9,1
200501EO40701,1,1,3,1,12,3,3,5,1,0,0,-1,0,1
200501EO40702,1,1,3,2,49,8,3,4,1,0,0,-1,0,-1
200501EO40703,1,1,1,1,28,6,2,0,0,0,0,-1,1,1
200501EO40704,2,1,1,1,48,8,2,0,0,0,0,-1,5,1
200501EO40705,1,1,1,1,29,6,3,0,0,0,0,-1,1,-1
200501EO40706,1,1,1,1,35,6,3,0,0,0,0,-1,1,1
200501EO40707,1,1,2,2,-1,-1,3,0,0,0,2,-1,11,-1
200501EO40708,1,1,3,2,-1,-1,3,10,9,0,0,-1,0,-1
200501EO40709,1,1,1,2,36,7,3,0,0,0,0,-1,9,1
200501EO40710,1,1,1,2,37,7,3,0,0,0,0,-1,9,1
200501EO40711,1,1,2,2,77,11,3,0,0,0,2,-1,11,-1
200501EO40713,1,1,2,1,28,6,3,0,0,0,1,-1,11,1
200501EO40714,1,1,1,1,38,7,3,0,0,0,0,-1,9,1
200501EO40715,2,1,1,1,-1,-1,3,0,0,0,0,-1,1,-1
200501EO40716,1,1,1,1,28,6,2,0,0,0,0,-1,1,-1
200501EO40717,1,1,1,1,31,6,2,0,0,0,0,-1,1,-1
200501EO40718,1,1,1,1,27,6,3,0,0,0,0,-1,9,1
200501EO40719,1,1,1,2,42,7,3,0,0,0,0,-1,9,1
200501EO40721,2,1,1,1,40,7,3,0,0,0,0,-1,5,1
200501EO40722,1,1,1,1,78,11,3,0,0,0,0,-1,1,-1
200501EO40723,2,1,1,1,20,4,3,0,0,0,0,-1,9,-1
200501EO40724,1,1,3,1,36,7,3,4,1,0,0,-1,0,-1
200501EO40725,1,1,1,1,33,6,3,0,0,0,0,-1,4,1
200501EO40726,2,1,1,1,48,8,3,0,0,0,0,-1,1,1
200501EO40728,1,1,3,2,38,7,3,1,1,0,0,-1,0,1
200501EO40729,1,1,3,2,14,3,2,5,9,0,0,-1,0,-1
200501EO40730,1,1,1,1,-1,-1,3,0,0,0,0,-1,5,-1
200501EO40731,1,1,1,1,48,8,3,0,0,0,0,-1,5,1
200501EO40732,1,1,1,1,30,6,3,0,0,0,0,-1,1,1
200501EO40733,2,1,1,2,25,5,3,0,0,0,0,-1,3,-1
200501EO40734,2,1,1,2,51,8,3,0,0,0,0,-1,1,1
200501EO40735,1,1,3,1,26,6,3,1,1,0,0,-1,0,1
200501EO40736,1,1,3,1,27,6,3,10,9,0,0,-1,0,-1
200501EO40737,1,1,1,1,35,6,3,0,0,0,0,-1,3,1
200501EO40738,1,1,3,1,47,8,3,4,3,0,0,-1,0,1
200501EO40739,1,1,1,2,24,5,3,0,0,0,0,-1,1,1
200501EO40740,1,1,3,2,80,11,3,10,9,0,0,-1,0,1
200501EO40741,2,1,1,1,34,6,3,0,0,0,0,-1,1,1
200501EO40742,2,1,2,2,24,5,3,0,0,0,0,-1,4,1
200501EO40743,1,1,1,2,34,6,2,0,0,0,0,-1,9,1
200501EO40743,2,2,1,1,23,5,3,0,0,0,0,-1,5,-1
200501EO40744,2,1,1,1,35,6,3,0,0,0,0,-1,1,1
200501EO40745,2,1,1,1,20,4,3,0,0,0,0,-1,1,1
200501EO40746,1,1,3,1,21,5,2,5,1,0,0,-1,0,1
200501EO40748,1,1,1,2,42,7,3,0,0,0,0,-1,9,1
200501EO40749,1,1,1,1,25,5,3,0,0,0,0,-1,11,1
200501EO40750,2,1,1,1,38,7,3,0,0,0,0,-1,2,-1
200501EO40751,1,1,1,1,17,4,3,0,0,0,0,-1,3,1
200501EO40752,2,1,1,1,18,4,2,0,0,0,0,-1,5,1
200501EO40752,2,2,2,1,16,4,3,0,0,0,0,-1,5,-1
200501EO40753,1,1,3,1,41,7,3,1,1,0,0,-1,0,1
200501EO40754,1,1,3,1,14,3,2,8,9,0,0,-1,0,-1
200501EO40754,1,2,3,1,14,3,2,8,9,0,0,-1,0,-1
200501EO40755,3,1,1,1,45,7,3,0,0,0,0,-1,1,1
200501EO40756,1,1,1,2,29,6,3,0,0,0,0,-1,2,1
200501EO40757,2,1,1,2,26,6,3,0,0,0,0,-1,1,1
200501EO40758,1,1,1,1,14,3,3,0,0,0,0,-1,1,1
200501EO40759,1,1,1,1,37,7,3,0,0,0,0,-1,19,1
200501EO40760,1,1,3,1,3,1,3,1,1,0,0,-1,0,1
200501EO40761,1,1,3,1,9,2,3,5,3,0,0,-1,0,1
200501EO40762,1,1,1,1,27,6,3,0,0,0,0,-1,1,1
200501EO40763,1,1,1,1,60,9,3,0,0,0,0,-1,8,1
200501EO40763,2,2,1,1,44,7,3,0,0,0,0,-1,9,1
200501EO40764,1,1,1,1,18,4,3,0,0,0,0,-1,2,1
200501EO40766,1,1,3,2,55,8,3,10,9,0,0,-1,0,-1
200501EO40767,1,1,3,1,23,5,3,9,5,0,0,-1,0,1
200501EO40768,1,1,1,1,42,7,3,0,0,0,0,-1,9,1
200501EO40769,3,1,1,1,31,6,3,0,0,0,0,-1,5,1
200501EO40770,2,1,1,1,53,8,3,0,0,0,0,-1,9,1
200501EO40772,2,1,1,1,48,8,3,0,0,0,0,-1,3,1
200501EO40773,2,1,1,1,39,7,3,0,0,0,0,-1,1,1
200501EO40774,1,1,3,2,26,6,3,10,9,0,0,-1,0,-1
200501EO40775,2,1,1,1,33,6,3,0,0,0,0,-1,5,-1
200501EO40777,2,1,1,2,13,3,3,0,0,0,0,-1,1,1
200501EO40778,1,1,3,2,26,6,3,4,1,0,0,-1,0,-1
200501EO40780,2,1,1,1,45,7,3,0,0,0,0,-1,1,1
200501EO40781,1,1,1,1,28,6,3,0,0,0,0,-1,1,1
200501EO40782,1,1,1,1,44,7,3,0,0,0,0,-1,1,1
200501EO40783,1,1,1,1,52,8,3,0,0,0,0,-1,3,-1
200501EO40784,2,1,1,1,32,6,2,0,0,0,0,-1,1,1
200501EO40785,1,1,2,2,28,6,3,0,0,2,0,-1,9,-1
200501EO40786,1,1,2,2,-1,-1,3,0,0,1,0,-1,9,1
200501EO40788,1,1,2,2,53,8,3,0,0,0,3,-1,11,-1
200501EO40788,1,2,2,2,28,6,3,0,0,0,3,-1,11,1
200501EO40788,1,3,2,2,52,8,3,0,0,0,3,-1,11,1
200501EO40789,1,1,3,2,44,7,3,6,9,0,0,-1,0,1
200501EO40790,1,1,2,1,65,9,3,0,0,0,3,-1,11,1
200501EO40791,2,1,2,2,58,9,3,0,0,0,4,-1,11,1
200501EO40792,1,1,3,1,33,6,2,1,1,0,0,-1,0,1
200501EO40793,1,1,1,2,28,6,3,0,0,0,0,-1,9,1
200501EO40793,3,2,1,1,21,5,3,0,0,0,0,-1,3,1
200501EO40794,1,1,2,1,4,1,3,0,0,1,0,-1,9,1
200501EO40795,1,1,1,1,49,8,3,0,0,0,0,-1,9,1
200501EO40796,1,1,2,1,19,4,3,0,0,0,0,-1,9,1
200501EO40797,1,1,3,1,35,6,3,4,1,0,0,-1,0,1
200501EO40798,1,1,2,2,68,10,3,0,0,0,2,-1,11,-1
200501EO40799,1,1,1,1,17,4,3,0,0,0,0,-1,2,1
200501EO40800,1,1,1,2,29,6,2,0,0,0,0,-1,1,1
200501EO40801,1,1,3,1,45,7,3,5,1,0,0,-1,0,-1
200501EO40802,1,1,3,1,38,7,3,10,9,0,0,-1,0,-1
200501EO40803,2,1,1,1,38,7,3,0,0,0,0,-1,9,1
200501EO40804,1,1,1,1,31,6,3,0,0,0,0,-1,9,1
200501EO40805,1,1,1,2,50,8,3,0,0,0,0,-1,9,1
200501EO40806,1,1,1,1,-1,-1,3,0,0,0,0,-1,5,1
200501EO40806,1,2,3,2,44,7,3,1,1,0,0,-1,0,-1
200501EO40807,1,1,3,1,44,7,3,4,2,0,0,-1,0,1
200501EO40808,2,1,1,1,21,5,3,0,0,0,0,-1,3,1
200501EO40809,1,1,3,2,27,6,3,1,3,0,0,-1,0,1
200501EO40810,1,1,1,1,63,9,3,0,0,0,0,-1,3,1
200501EO40810,1,2,3,1,42,7,3,1,9,0,0,-1,0,1
200501EO40811,1,1,1,1,32,6,3,0,0,0,0,-1,5,-1
200501EO40812,1,1,1,1,34,6,3,0,0,0,0,-1,3,-1
200501EO40813,1,1,1,1,46,8,3,0,0,0,0,-1,9,1
200501EO40814,1,1,1,2,25,5,3,0,0,0,0,-1,1,1
200501EO40817,1,1,1,1,-1,-1,3,0,0,0,0,-1,9,-1
200501EO40818,1,1,1,1,29,6,2,0,0,0,0,-1,1,1
200501EO40819,1,1,1,1,50,8,3,0,0,0,0,-1,1,1
200501EO40820,1,1,1,1,59,9,3,0,0,0,0,-1,2,1
200501EO40821,1,1,1,1,25,5,3,0,0,0,0,-1,5,1
200501EO40822,2,1,1,1,41,7,3,0,0,0,0,-1,1,1
200501EO40823,1,1,3,2,22,5,3,1,1,0,0,-1,0,1
200501EO40824,2,1,1,1,29,6,3,0,0,0,0,-1,19,3
200501EO40825,1,1,3,2,25,5,3,6,9,0,0,-1,0,1
200501EO40826,1,1,2,2,57,9,3,0,0,0,3,-1,11,-1
200501EO40827,1,1,2,2,82,11,3,0,0,0,1,-1,11,1
200501EO40828,1,1,1,1,26,6,3,0,0,0,0,-1,3,-1
200501EO40829,2,1,1,2,22,5,3,0,0,0,0,-1,9,1
200501EO40830,1,1,3,1,28,6,3,5,1,0,0,-1,0,-1
200501EO40831,2,1,2,2,66,10,3,0,0,1,0,-1,9,2
200501EO40833,1,1,3,2,20,4,3,5,2,0,0,-1,0,1
200501EO40834,1,1,2,1,76,11,3,0,0,0,3,-1,11,1
200501EO40835,1,1,2,1,54,8,3,0,0,0,4,-1,11,1
200501EO40836,1,1,1,1,39,7,2,0,0,0,0,-1,5,1
200501EO40836,1,2,2,2,49,8,3,0,0,0,0,-1,5,-1
200501EO40837,2,1,1,1,-1,-1,3,0,0,0,0,-1,1,1
200501EO40838,1,1,3,1,63,9,3,10,9,0,0,-1,0,1
200501EO40838,1,2,1,1,41,7,3,0,0,0,0,-1,3,1
200501EO40839,1,1,2,2,80,11,3,0,0,0,1,-1,11,1
200501EO40840,1,1,3,1,41,7,2,1,1,0,0,-1,0,1
200501EO40841,3,1,1,1,24,5,3,0,0,0,0,-1,1,1
200501EO40842,1,1,1,1,34,6,3,0,0,0,0,-1,3,1
200501EO40843,1,1,3,1,25,5,3,5,1,0,0,-1,0,1
200501EO40844,1,1,1,2,49,8,3,0,0,0,0,-1,9,1
200501EO40845,1,1,1,1,25,5,3,0,0,0,0,-1,4,1
200501EO40846,2,1,1,1,39,7,3,0,0,0,0,-1,3,1
200501EO40847,2,1,1,1,11,3,3,0,0,0,0,-1,1,1
200501EO40848,1,1,3,1,39,7,3,5,1,0,0,-1,0,1
200501EO40848,1,2,1,1,28,6,3,0,0,0,0,-1,3,1
200501EO40849,1,1,3,2,41,7,3,5,1,0,0,-1,0,1
200501EO40850,1,1,1,1,23,5,3,0,0,0,0,-1,1,1
200501EO40851,2,1,1,1,38,7,3,0,0,0,0,-1,5,3
