Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200501BS70046,1,1,3,2,39,7,3,4,3,0,0,-1,0,1
200501BS70047,1,1,1,1,39,7,3,0,0,0,0,-1,3,-1
200501BS70048,1,1,1,2,36,7,3,0,0,0,0,-1,3,1
200501BS70049,1,1,3,2,28,6,3,4,3,0,0,-1,0,1
200501BS70050,3,1,1,1,26,6,3,0,0,0,0,-1,1,1
200501BS70051,1,1,3,1,21,5,3,5,3,0,0,-1,0,1
200501BS70052,1,1,3,2,61,9,3,5,1,0,0,-1,0,1
200501BS70053,1,1,3,1,75,10,3,1,1,0,0,-1,0,1
200501BS70054,2,1,1,1,29,6,3,0,0,0,0,-1,1,1
200501BS70055,1,1,3,1,25,5,3,7,8,0,0,-1,0,-1
200501BS70056,1,1,2,2,35,6,3,0,0,0,3,-1,11,-1
200501BS70058,2,1,1,1,54,8,3,0,0,0,0,-1,1,-1
200501BS70060,1,1,1,1,45,7,3,0,0,0,0,-1,9,1
200501BS70061,2,1,1,1,26,6,3,0,0,0,0,-1,3,1
200501BS70062,2,1,1,1,24,5,3,0,0,0,0,-1,5,1
200501BS70063,1,1,1,2,35,6,3,0,0,0,0,-1,2,-1
200501BS70065,2,1,1,1,52,8,3,0,0,0,0,-1,1,1
200501BS70066,1,1,1,1,31,6,2,0,0,0,0,-1,2,1
200501BS70067,2,1,1,2,26,6,3,0,0,0,0,-1,1,1
200501BS70068,1,1,1,1,29,6,3,0,0,0,0,-1,9,1
200501BS70068,1,2,2,1,28,6,3,0,0,1,0,-1,9,1
200501BS70068,2,3,1,2,23,5,3,0,0,0,0,-1,9,1
200501BS70068,2,4,2,1,31,6,3,0,0,1,0,-1,9,1
200501BS70069,1,1,3,1,54,8,3,5,2,0,0,-1,0,1
200501BS70070,1,1,3,2,27,6,3,5,1,0,0,-1,0,-1
200501BS70072,1,1,1,1,35,6,3,0,0,0,0,-1,2,-1
200501BS70073,2,1,1,1,74,10,2,0,0,0,0,-1,1,1
200501BS70074,1,1,1,1,36,7,3,0,0,0,0,-1,9,-1
200501BS70075,1,1,2,1,46,8,3,0,0,0,2,-1,11,1
200501BS70076,1,1,1,1,29,6,3,0,0,0,0,-1,1,1
200501BS70077,1,1,1,2,38,7,3,0,0,0,0,-1,9,1
200501BS70078,2,1,1,1,34,6,3,0,0,0,0,-1,1,1
200501BS70079,1,1,1,1,38,7,3,0,0,0,0,-1,5,1
200501BS70080,2,1,1,1,34,6,3,0,0,0,0,-1,9,1
200501BS70080,3,2,1,2,37,7,3,0,0,0,0,-1,9,1
200501BS70082,1,1,1,2,21,5,3,0,0,0,0,-1,4,-1
200501BS70083,1,1,3,2,26,6,3,4,1,0,0,-1,0,1
200501BS70084,1,1,1,1,40,7,3,0,0,0,0,-1,1,1
200501BS70085,1,1,1,1,32,6,3,0,0,0,0,-1,5,1
200501BS70086,1,1,1,1,40,7,3,0,0,0,0,-1,9,1
200501BS70087,1,1,1,1,48,8,3,0,0,0,0,-1,9,1
200501BS70088,1,1,2,1,42,7,2,0,0,0,2,-1,11,1
200501BS70089,2,1,1,2,44,7,2,0,0,0,0,-1,1,1
200501BS70090,1,1,1,1,53,8,3,0,0,0,0,-1,4,1
200501BS70090,1,2,3,2,25,5,3,4,1,0,0,-1,0,1
200501BS70091,1,1,3,1,78,11,3,5,1,0,0,-1,0,-1
200501BS70092,3,1,1,1,-1,-1,3,0,0,0,0,-1,3,-1
200501BS70092,3,2,2,1,-1,-1,3,0,0,0,0,-1,3,-1
200501BS70093,1,1,1,1,34,6,3,0,0,0,0,-1,5,1
200501BS70094,1,1,3,2,46,8,3,4,3,0,0,-1,0,-1
200501BS70095,1,1,1,1,30,6,3,0,0,0,0,-1,5,1
200501BS70096,1,1,1,1,33,6,2,0,0,0,0,-1,3,1
200501BS70097,1,1,3,2,20,4,3,5,1,0,0,-1,0,1
200501BS70098,1,1,3,2,57,9,3,5,1,0,0,-1,0,-1
200501BS70098,1,2,3,2,35,6,3,5,1,0,0,-1,0,1
200501BS70099,1,1,2,1,33,6,3,0,0,0,4,-1,11,1
200501BS70100,1,1,3,2,41,7,3,10,1,0,0,-1,0,-1
200501BS70101,1,1,3,2,63,9,3,5,1,0,0,-1,0,1
200501BS70102,1,1,1,2,46,8,3,0,0,0,0,-1,9,-1
200501BS70105,2,1,1,1,29,6,3,0,0,0,0,-1,1,-1
200501BS70107,1,1,1,1,27,6,3,0,0,0,0,-1,2,1
200501BS70108,1,1,1,1,36,7,3,0,0,0,0,-1,9,1
200501BS70109,1,1,1,1,51,8,3,0,0,0,0,-1,9,1
200501BS70110,1,1,1,1,58,9,3,0,0,0,0,-1,8,1
200501BS70111,2,1,1,1,24,5,3,0,0,0,0,-1,4,1
200501BS70112,2,1,1,1,48,8,3,0,0,0,0,-1,5,3
