Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
200501LX50743,1,9,0,9,0,1,0,0,7,0,3,1,15,2,24,5,-1,-1,-1,6,1
200501LX50743,2,4,0,18,0,1,0,0,0,0,1,1,15,1,23,5,-1,-1,-1,3,1
200501LX50744,1,9,5,14,0,0,0,0,0,0,1,1,15,1,42,7,-1,-1,-1,6,1
200501LX50745,1,21,0,4,0,8,0,0,0,0,1,1,15,1,38,7,5861,2,5,5,1
200501LX50745,2,11,0,18,0,8,0,0,0,0,2,1,15,1,53,8,-1,-1,-1,2,1
200501LX50746,1,9,0,9,0,8,0,0,0,0,1,1,15,2,34,6,1124,1,7,4,1
200501LX50747,1,9,0,9,0,8,0,0,0,0,4,1,15,1,55,8,1149,1,2,4,1
200501LX50747,2,9,0,18,0,8,0,0,0,0,1,1,15,2,35,6,1390,1,2,3,1
200501LX50748,1,9,0,18,0,8,0,0,0,0,3,1,15,2,42,7,998,1,7,3,1
200501LX50748,2,9,0,18,0,8,0,0,0,0,1,1,15,2,37,7,1783,1,10,3,1
200501LX50749,1,2,0,18,0,0,0,0,0,0,1,1,15,1,16,4,49,1,1,-1,-1
200501LX50749,2,2,0,18,0,0,0,0,0,0,1,1,15,1,17,4,49,1,6,2,1
200501LX50750,1,11,0,18,0,1,0,10,1,7,1,1,1,1,25,5,-1,2,4,4,1
200501LX50751,1,9,0,18,0,8,0,0,0,0,4,1,15,1,41,7,2295,1,7,2,1
200501LX50751,2,3,0,18,0,8,0,0,0,0,3,1,15,1,23,5,124,1,5,4,1
200501LX50751,3,9,0,18,0,8,0,0,0,0,3,1,15,3,-1,-1,-1,-1,-1,-1,-1
200501LX50752,1,1,0,18,0,8,0,0,0,0,1,1,15,1,39,7,-1,-1,-1,2,1
200501LX50752,2,9,0,9,0,8,0,0,0,0,4,1,15,1,75,10,1390,1,-1,-1,-1
200501LX50753,1,9,0,18,0,0,0,0,0,0,4,1,15,1,32,6,1493,1,13,-1,-1
200501LX50753,2,9,0,3,0,0,0,0,0,0,3,1,15,2,34,6,1242,1,5,5,1
200501LX50754,1,5,0,13,0,1,0,0,0,0,4,1,15,1,37,7,599,1,2,10,3
200501LX50754,2,9,0,12,0,1,0,0,0,0,3,1,15,1,50,8,-1,-1,-1,-1,-1
200501LX50755,1,3,0,18,0,1,0,0,0,0,1,1,15,1,34,6,124,1,5,4,1
200501LX50755,2,8,0,5,0,1,0,0,0,0,3,1,1,1,38,7,2402,2,-1,6,1
200501LX50756,1,9,0,18,0,3,5,0,5,6,1,1,15,1,25,5,1390,1,8,3,1
200501LX50757,1,9,0,9,0,8,0,0,0,0,4,1,15,2,40,7,-1,-1,-1,3,1
200501LX50757,2,9,0,18,0,8,0,10,7,1,1,1,15,2,23,5,1998,1,1,2,1
200501LX50758,1,11,0,16,0,0,0,0,0,0,0,1,15,1,47,8,9600,2,5,-1,-1
200501LX50759,1,21,0,18,0,1,0,0,0,0,3,1,1,1,54,8,3920,2,2,2,1
200501LX50760,1,3,0,18,0,8,1,0,0,0,3,1,15,1,38,7,125,1,-1,-1,-1
200501LX50760,2,21,0,18,0,8,0,0,0,0,0,1,15,1,35,6,-1,-1,-1,-1,-1
200501LX50760,3,1,0,18,0,8,1,0,0,0,1,1,15,1,28,6,-1,-1,-1,8,1
200501LX50760,4,1,0,18,0,8,1,0,0,0,1,1,15,1,-1,-1,-1,-1,-1,3,1
200501LX50761,1,3,0,18,0,1,0,0,0,0,0,1,15,1,28,6,-1,-1,-1,4,1
200501LX50761,2,9,0,9,0,8,0,0,0,0,0,1,15,1,-1,-1,1390,1,8,-1,-1
200501LX50762,1,9,0,18,0,0,0,0,0,0,3,1,15,1,26,6,1392,1,13,4,1
200501LX50763,1,9,0,18,0,0,0,0,0,0,1,1,15,1,32,6,1988,1,8,4,1
200501LX50764,1,9,0,17,0,2,0,0,0,0,1,1,15,1,38,7,1991,1,6,3,1
200501LX50765,1,9,0,18,0,0,0,0,1,10,1,1,15,1,31,6,-1,-1,-1,4,1
200501LX50767,1,9,0,2,0,0,0,0,0,0,3,1,15,1,32,6,1896,2,10,3,1
200501LX50767,2,1,0,18,0,0,0,0,0,0,1,1,15,1,36,7,-1,-1,-1,3,1
200501LX50768,1,9,0,18,0,0,0,0,0,0,3,1,15,2,34,6,1698,2,8,6,1
200501LX50769,1,9,0,7,0,8,0,0,0,0,2,1,15,1,29,6,-1,-1,-1,8,1
200501LX50769,2,1,0,18,0,8,0,0,0,0,1,1,15,1,51,8,-1,-1,-1,2,1
200501LX50770,1,3,0,18,0,0,0,0,0,0,1,1,15,2,28,6,124,1,5,6,1
200501LX50771,1,1,0,9,0,8,0,0,0,0,3,1,15,1,38,7,-1,-1,-1,-1,-1
200501LX50771,2,9,0,18,0,8,0,0,0,0,1,1,15,1,-1,-1,-1,-1,-1,-1,-1
200501LX50772,1,9,0,11,0,8,0,0,0,0,4,1,15,1,37,7,-1,-1,-1,8,1
200501LX50772,2,3,0,18,0,8,0,0,0,0,1,1,15,1,-1,-1,124,1,7,-1,-1
200501LX50772,3,9,0,18,0,8,0,0,0,0,3,1,15,3,-1,-1,1199,1,4,-1,-1
200501LX50774,1,9,0,2,0,0,0,0,0,0,2,1,15,1,42,7,1796,1,13,2,1
200501LX50774,2,1,0,18,0,0,0,0,0,0,1,1,15,1,39,7,-1,-1,-1,2,1
200501LX50775,1,19,0,4,0,2,0,0,0,0,2,1,15,1,35,6,1295,1,6,4,1
200501LX50775,2,9,0,18,0,2,0,0,0,0,1,1,15,1,-1,-1,-1,-1,-1,-1,-1
200501LX50776,1,19,0,18,0,0,0,0,0,0,3,1,15,1,32,6,1753,2,1,3,1
200501LX50776,2,9,0,2,0,0,0,0,0,0,3,1,15,3,-1,-1,-1,-1,-1,-1,-1
200501LX50776,3,9,0,2,0,0,0,0,0,0,3,1,15,3,-1,-1,-1,-1,-1,-1,-1
200501LX50777,1,11,0,4,0,1,0,0,0,0,0,1,15,1,40,7,-1,-1,-1,4,1
200501LX50778,1,9,0,4,0,1,0,0,0,0,2,1,15,2,30,6,-1,-1,-1,4,1
200501LX50778,2,9,0,18,0,1,0,0,0,0,1,1,15,2,30,6,1598,1,7,6,1
200501LX50779,1,9,0,18,0,1,0,0,0,0,4,1,15,1,-1,-1,-1,-1,-1,-1,-1
200501LX50780,1,5,0,18,0,0,0,0,0,0,3,1,15,1,41,7,600,1,8,4,1
200501LX50780,2,9,0,18,0,0,0,0,0,0,4,1,15,2,-1,-1,-1,-1,-1,-1,-1
200501LX50783,1,21,0,3,0,0,0,0,0,0,2,1,15,1,-1,-1,5480,2,12,5,1
200501LX50783,2,1,0,15,0,0,0,0,0,0,1,1,15,1,28,6,-1,-1,-1,6,1
200501LX50785,1,11,0,18,0,1,0,0,0,0,0,1,1,2,42,7,-1,2,40,1,1
200501LX50785,2,9,0,11,0,1,0,0,0,0,0,1,15,3,-1,-1,-1,-1,-1,-1,-1
200501LX50787,1,11,0,5,0,1,0,0,0,0,0,1,1,1,45,7,8268,2,2,4,1
200501LX50788,1,5,0,9,0,8,0,0,0,0,3,1,15,1,42,7,647,1,3,3,1
200501LX50788,2,3,0,13,0,8,0,0,0,0,1,1,15,1,-1,-1,124,1,4,-1,-1
200501LX50790,1,9,0,7,0,8,0,0,0,0,2,1,15,2,26,6,1360,1,15,4,1
200501LX50790,2,9,0,18,0,8,0,0,0,0,1,1,15,2,-1,-1,1242,1,3,-1,-1
200501LX50790,3,9,0,18,0,8,0,0,0,0,0,1,15,3,-1,-1,-1,-1,-1,-1,-1
200501LX50791,1,5,0,14,0,1,0,0,0,0,1,1,15,1,-1,-1,-1,-1,-1,-1,-1
200501LX50792,1,11,0,18,0,0,0,0,0,0,3,1,1,1,35,6,9600,2,5,-1,-1
200501LX50792,2,9,0,11,0,0,0,0,0,0,4,1,15,1,38,7,-1,-1,-1,-1,-1
200501LX50793,1,9,0,16,0,8,0,0,0,0,2,1,15,2,22,5,1396,1,7,2,1
200501LX50793,2,9,0,16,0,8,0,0,0,0,1,1,15,1,-1,-1,-1,-1,-1,-1,-1
200501LX50794,1,9,0,7,0,8,0,0,0,0,4,1,15,1,-1,-1,1700,2,11,-1,-1
200501LX50794,2,1,0,18,0,8,0,0,0,0,1,1,15,1,29,6,-1,-1,-1,6,1
200501LX50795,1,9,0,18,0,0,0,0,0,0,1,1,15,2,25,5,-1,-1,-1,3,1
200501LX50797,1,3,0,9,0,8,0,0,0,0,1,1,15,1,36,7,125,1,-1,4,1
200501LX50797,2,9,0,18,0,8,0,0,0,0,3,1,15,2,35,6,1590,1,12,3,1
200501LX50798,1,1,0,18,0,0,0,4,0,0,1,1,15,1,23,5,-1,-1,-1,3,1
200501LX50798,2,9,0,2,0,0,0,0,0,0,3,1,15,1,33,6,1799,1,8,2,1
200501LX50798,3,11,0,5,0,0,0,0,0,0,0,1,1,3,-1,-1,-1,-1,-1,-1,-1
200501LX50799,1,3,0,18,0,1,0,0,0,0,1,1,15,1,29,6,124,1,8,4,1
200501LX50800,1,9,0,18,0,8,0,0,0,0,0,1,15,1,28,6,1390,1,11,3,1
